PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
gpon_olt-1/4/1,20,ZTEGD6D13F2E,jaguilera2,F670LV9.0,BRIDGE
gpon_olt-1/4/7,21,ZTEGD6D142A1,lportero,F670LV9.0,BRIDGE
gpon_olt-1/4/6,15,ZTEGD6D13F29,mlucero,F670LV9.0,BRIDGE
gpon_olt-1/4/4,8,ZTEGD6D1429A,femurua,F670LV9.0,BRIDGE
gpon_olt-1/4/4,22,ZTEGD6D1429B,raguero,F670LV9.0,BRIDGE
gpon_olt-1/4/2,10,ZTEGD6D1429C,hfleyria,F670LV9.0,BRIDGE
gpon_olt-1/4/4,42,ZTEGD6D15F37,bdvargas,F670LV9.0,BRIDGE
gpon_olt-1/4/6,3,ZTEGD6D13F37,peangel,F670LV9.0,BRIDGE
gpon_olt-1/4/4,12,ZTEGD6D13F36,sduje,F670LV9.0,BRIDGE
gpon_olt-1/4/7,12,ZTEGD6D14294,edolmedo,F670LV9.0,BRIDGE
gpon_olt-1/4/2,37,ZTEGD6D13F39,emcortez,F670LV9.0,BRIDGE
gpon_olt-1/4/2,23,ZTEGD6D13D41,regalian,F670LV9.0,BRIDGE
gpon_olt-1/4/5,21,ZTEGD6D13F05,froviedo2,F670LV9.0,BRIDGE
gpon_olt-1/4/2,8,ZTEGD6D142C9,pbrito2,F670LV9.0,BRIDGE
gpon_olt-1/4/3,15,ZTEGD6D13F07,roromero2,F670LV9.0,BRIDGE
gpon_olt-1/4/2,15,ZTEGD6D13F04,dnaguero1,F670LV9.0,BRIDGE
gpon_olt-1/4/2,38,HWTC4581E9B2,ospampinato,EG8021V5,ROUTER
gpon_olt-1/4/3,4,ZTEGD6D13F03,deferrero,F670LV9.0,BRIDGE
gpon_olt-1/4/2,35,ZTEGD6D13EFF,mdiaz1,F670LV9.0,BRIDGE
gpon_olt-1/4/4,29,ZTEGD6D13F0A,jcoviedo,F670LV9.0,BRIDGE
gpon_olt-1/4/6,21,ZTEGD6D13F0B,rdurquiza,F670LV9.0,BRIDGE
gpon_olt-1/4/10,1,ZTEGD6D13F10,ibgallardo,F670LV9.0,BRIDGE
gpon_olt-1/4/5,22,ZTEGD6D13D6A,mortiz2,F670LV9.0,BRIDGE
gpon_olt-1/4/1,17,ZTEGD6D13EF2,mhurtado,F670LV9.0,BRIDGE
gpon_olt-1/4/9,14,ZTEGD6D13EF5,mfernandez3,F670LV9.0,BRIDGE
gpon_olt-1/4/7,14,ZTEGD6D13EFB,lgomez,F670LV9.0,BRIDGE
gpon_olt-1/4/8,21,ZTEGD6D13EFC,ncpacheco,F670LV9.0,BRIDGE
gpon_olt-1/4/5,3,ZTEGD6D142D5,maguirre5,F670LV9.0,BRIDGE
gpon_olt-1/4/8,12,ZTEGD6D13EF8,vcalderon2,F670LV9.0,BRIDGE
gpon_olt-1/4/8,4,ZTEGD6D142DF,jaruarte,F670LV9.0,BRIDGE
gpon_olt-1/4/6,7,ZTEGD6D13D89,esheredia,F670LV9.0,BRIDGE
gpon_olt-1/4/2,21,ZTEGD6D13EF0,jealmiron,F670LV9.0,BRIDGE
gpon_olt-1/4/4,26,ZTEGD6D13EEE,solguin,F670LV9.0,BRIDGE
gpon_olt-1/4/2,3,ZTEGD6D14442,imzarate1,F670LV9.0,BRIDGE
gpon_olt-1/4/8,19,ZTEGD6D142E1,hromero1,F670LV9.0,BRIDGE
gpon_olt-1/4/5,27,ZTEGD6D142E5,dramirez2,F670LV9.0,BRIDGE
gpon_olt-1/4/6,34,ZTEGD6D13EE9,mdlopez,F670LV9.0,BRIDGE
gpon_olt-1/4/4,24,ZTEGD6D13EEC,sgomez2,F670LV9.0,BRIDGE
gpon_olt-1/4/7,22,ZTEGD6D14274,mpromero,F670LV9.0,BRIDGE
gpon_olt-1/4/1,26,ZTEGD6D14275,lncalderon,F670LV9.0,BRIDGE
gpon_olt-1/4/4,41,ZTEGD6D14277,jcalderon,F670LV9.0,BRIDGE
gpon_olt-1/4/6,11,ZTEGD6D1427C,dolmedo,F670LV9.0,BRIDGE
gpon_olt-1/4/4,6,HWTC16ECDF9B,rcalderon,IC405WSG,ROUTER
gpon_olt-1/4/7,8,ZTEGD6D13F55,mdcpalacios,F670LV9.0,BRIDGE
gpon_olt-1/4/12,29,ZTEGD6D13F57,ksymouang,F670LV9.0,BRIDGE
gpon_olt-1/4/1,25,ZTEGD6D14278,myortiz,F670LV9.0,BRIDGE
gpon_olt-1/4/4,39,ZTEGD6D13D23,cgbalestrieri,F670LV9.0,BRIDGE
gpon_olt-1/4/6,8,ZTEGD6D1426F,jvsalinas,F670LV9.0,BRIDGE
gpon_olt-1/4/4,14,ZTEGD6D147C2,enmadero,F670LV9.0,BRIDGE
gpon_olt-1/4/7,33,ZTEGD6D1426D,dacrocco,F670LV9.0,BRIDGE
gpon_olt-1/4/1,15,ZTEGD6D144B7,amgomez,F670LV9.0,BRIDGE
gpon_olt-1/4/12,34,ZTEGD6D14A11,jcalbornos2,F670LV9.0,BRIDGE
gpon_olt-1/4/1,18,ZTEGD6D14269,icontreras,F670LV9.0,BRIDGE
gpon_olt-1/4/6,23,ZTEGD6D13D12,dgortiz,F670LV9.0,BRIDGE
gpon_olt-1/4/1,14,ZTEGD6D14268,amontoya,F670LV9.0,BRIDGE
gpon_olt-1/4/8,29,ZTEGD6D1426A,lbmorales,F670LV9.0,BRIDGE
gpon_olt-1/4/3,19,ZTEGD6D1426B,mgil2,F670LV9.0,BRIDGE
gpon_olt-1/4/2,36,ZTEGD6D14286,aariza,F670LV9.0,BRIDGE
gpon_olt-1/4/4,16,ZTEGD6D14283,mcalderon1,F670LV9.0,BRIDGE
gpon_olt-1/4/3,18,HWTC87F359B4,mjavalos1,EG8021V5,ROUTER
gpon_olt-1/4/6,31,ZTEGD6D13F50,ncordero,F670LV9.0,BRIDGE
gpon_olt-1/4/1,23,ZTEGD6D1427D,rjgallardo,F670LV9.0,BRIDGE
gpon_olt-1/4/9,1,HWTC9664B2B1,mdsalguero,EG8021V5,ROUTER
gpon_olt-1/4/12,45,ZTEGD6D1E304,dbarroso2,F670LV9.0,BRIDGE
gpon_olt-1/4/12,4,ZTEGD6D1E305,imvillarreal,F670LV9.0,BRIDGE
gpon_olt-1/4/8,17,ZTEGD6D14288,afledesma1,F670LV9.0,BRIDGE
gpon_olt-1/4/5,18,ZTEGD6D13D35,rasalinas,F670LV9.0,BRIDGE
gpon_olt-1/4/8,2,ZTEGD6D13F3F,lmoviedo,F670LV9.0,BRIDGE
gpon_olt-1/4/2,29,ZTEGD6D13F3E,roviedo,F670LV9.0,BRIDGE
